feature,modality,feature_group,feature_type,aggregation,analysis_role,class_id,class_name,n_subjects_total,n_nonmissing,missing_subject_fraction,median,q25,q75,iqr,cn_reference_median,median_diff_vs_cn,robust_smd_vs_cn,cliffs_delta_vs_cn,abs_cliffs_delta_vs_cn,max_abs_cliffs_delta_non_cn
activity__activity_rest__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_rest__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_score__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,12.75,7.5,17,9.5,12.75,0,0,0,0,0.0675844806
activity__activity_score__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,11,8,15.375,7.375,12.75,-1.75,-0.277600249,-0.0675844806,0.0675844806,0.0675844806
activity__activity_score__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,11,8,18.25,10.25,12.75,-1.75,-0.2388911036,-0.05751633987,0.05751633987,0.0675844806
activity__activity_score__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,88,78.5,93,14.5,88,0,0,0,0,0.3163398693
activity__activity_score__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,89,78.25,94,15.75,88,1,0.08911403249,0.08135168961,0.08135168961,0.3163398693
activity__activity_score__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,75.5,69,90,21,88,-12.5,-0.9344651133,-0.3163398693,0.3163398693,0.3163398693
activity__activity_score__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_score__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_score__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_meet_daily_targets__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,18,0,35,35,18,0,0,0,0,0.05359477124
activity__activity_score_meet_daily_targets__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,17,0,35,35,18,-1,-0.03854285714,-0.02578222778,0.02578222778,0.05359477124
activity__activity_score_meet_daily_targets__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,18,0,40,40,18,0,0,0.05359477124,0.05359477124,0.05359477124
activity__activity_score_meet_daily_targets__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,95,60,100,40,95,0,0,0,0,0.4444444444
activity__activity_score_meet_daily_targets__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,95,60,100,40,95,0,0,-0.0535669587,0.0535669587,0.4444444444
activity__activity_score_meet_daily_targets__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,43,25,95,70,95,-52,-1.230477319,-0.4444444444,0.4444444444,0.4444444444
activity__activity_score_meet_daily_targets__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_meet_daily_targets__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_meet_daily_targets__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_move_every_hour__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,5,0,5,5,5,0,0,0,0,0.202252816
activity__activity_score_move_every_hour__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,0,0,5,5,5,-5,-1.349,-0.202252816,0.202252816,0.202252816
activity__activity_score_move_every_hour__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,0,0,5,5,5,-5,-1.349,-0.1803921569,0.1803921569,0.202252816
activity__activity_score_move_every_hour__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,100,100,100,0,100,0,0,0,0,0.05490196078
activity__activity_score_move_every_hour__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,100,100,100,0,100,0,0,0.01752190238,0.01752190238,0.05490196078
activity__activity_score_move_every_hour__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,100,100,100,0,100,0,0,-0.05490196078,0.05490196078,0.05490196078
activity__activity_score_move_every_hour__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_move_every_hour__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_move_every_hour__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_recovery_time__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,2,0,28.25,28.25,2,0,0,0,0,0.07712418301
activity__activity_score_recovery_time__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,2,0,22.125,22.125,2,0,0,-0.06408010013,0.06408010013,0.07712418301
activity__activity_score_recovery_time__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,2,0,5,5,2,0,0,-0.07712418301,0.07712418301,0.07712418301
activity__activity_score_recovery_time__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,100,98,100,2,100,0,0,0,0,0.09019607843
activity__activity_score_recovery_time__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,100,98,100,2,100,0,0,0.01877346683,0.01877346683,0.09019607843
activity__activity_score_recovery_time__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,100,100,100,0,100,0,0,0.09019607843,0.09019607843,0.09019607843
activity__activity_score_recovery_time__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_recovery_time__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_recovery_time__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_stay_active__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,15,11.75,18.25,6.5,15,0,0,0,0,0.02222222222
activity__activity_score_stay_active__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,15,11.75,17.875,6.125,15,0,0,0.005757196496,0.005757196496,0.02222222222
activity__activity_score_stay_active__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,15,12.75,18.5,5.75,15,0,0,-0.02222222222,0.02222222222,0.02222222222
activity__activity_score_stay_active__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,80,72,86,14,80,0,0,0,0,0.1986928105
activity__activity_score_stay_active__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,81,73.25,91,17.75,80,1,0.08438979657,0.1284105131,0.1284105131,0.1986928105
activity__activity_score_stay_active__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,81,76,89,13,80,1,0.09985746006,0.1986928105,0.1986928105,0.1986928105
activity__activity_score_stay_active__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_stay_active__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_stay_active__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_training_frequency__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,0,0,31,31,0,0,0,0,0,0.04183006536
activity__activity_score_training_frequency__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,0,0,29,29,0,0,0,0.0002503128911,0.0002503128911,0.04183006536
activity__activity_score_training_frequency__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,0,0,31,31,0,0,0,-0.04183006536,0.04183006536,0.04183006536
activity__activity_score_training_frequency__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,100,96,100,4,100,0,0,0,0,0.1450980392
activity__activity_score_training_frequency__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,100,96,100,4,100,0,0,-0.06057571965,0.06057571965,0.1450980392
activity__activity_score_training_frequency__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,100,40,100,60,100,0,0,-0.1450980392,0.1450980392,0.1450980392
activity__activity_score_training_frequency__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_training_frequency__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_training_frequency__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_training_volume__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,2,1,20,19,2,0,0,0,0,0.137254902
activity__activity_score_training_volume__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,2,1,17,16,2,0,0,-0.02503128911,0.02503128911,0.137254902
activity__activity_score_training_volume__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,3,2,18,16,2,1,0.07680409312,0.137254902,0.137254902,0.137254902
activity__activity_score_training_volume__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,97,88.5,100,11.5,97,0,0,0,0,0.1816993464
activity__activity_score_training_volume__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,96,93,100,7,97,-1,-0.1417059023,0.005006257822,0.005006257822,0.1816993464
activity__activity_score_training_volume__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,96,70,98,28,97,-1,-0.06302603027,-0.1816993464,0.1816993464,0.1816993464
activity__activity_score_training_volume__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_training_volume__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_score_training_volume__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_steps__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,4579.25,3286,6102,2816,4579.25,0,0,0,0,0.3071895425
activity__activity_steps__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,4950,3937.125,6040.25,2103.125,4579.25,370.75,0.2012435866,0.1229036295,0.1229036295,0.3071895425
activity__activity_steps__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,3696,1829.5,4569,2739.5,4579.25,-883.25,-0.4289051576,-0.3071895425,0.3071895425,0.3071895425
activity__activity_steps__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,9942,7647,13166.5,5519.5,9942,0,0,0,0,0.2496732026
activity__activity_steps__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,10449,7885,14258.75,6373.75,9942,507,0.1147181052,0.02077596996,0.02077596996,0.2496732026
activity__activity_steps__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,8507.5,4817,12091,7274,9942,-1434.5,-0.2997140388,-0.2496732026,0.2496732026,0.2496732026
activity__activity_steps__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_steps__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_steps__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_total__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,113.5,89.25,138,48.75,113.5,0,0,0,0,0.5490196078
activity__activity_total__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,118,96.625,141.5,44.875,113.5,4.5,0.1295659762,0.1166458073,0.1166458073,0.5490196078
activity__activity_total__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,73,61,90,29,113.5,-40.5,-1.362129739,-0.5490196078,0.5490196078,0.5490196078
activity__activity_total__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,337.5,266,400,134,337.5,0,0,0,0,0.4052287582
activity__activity_total__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,371,282,432.25,150.25,337.5,33.5,0.3174517753,0.1056320401,0.1056320401,0.4052287582
activity__activity_total__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,252,179,348,169,337.5,-85.5,-0.7562880063,-0.4052287582,0.4052287582,0.4052287582
activity__activity_total__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_total__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_total__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__derived_day_end_hour__subject_day_iqr,activity,timestamp_derived,scalar,subject_day_iqr,candidate,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__derived_day_end_hour__subject_day_iqr,activity,timestamp_derived,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__derived_day_end_hour__subject_day_iqr,activity,timestamp_derived,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__derived_day_end_hour__subject_median,activity,timestamp_derived,scalar,subject_median,candidate,0,CN,85,85,0,3.999722222,3.999722222,3.999722222,0,3.999722222,0,,0,0,0
activity__derived_day_end_hour__subject_median,activity,timestamp_derived,scalar,subject_median,candidate,1,MCI,47,47,0,3.999722222,3.999722222,3.999722222,0,3.999722222,0,,0,0,0
activity__derived_day_end_hour__subject_median,activity,timestamp_derived,scalar,subject_median,candidate,2,DEM,9,9,0,3.999722222,3.999722222,3.999722222,0,3.999722222,0,,0,0,0
activity__derived_day_end_hour__subject_missing_fraction,activity,timestamp_derived,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__derived_day_end_hour__subject_missing_fraction,activity,timestamp_derived,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__derived_day_end_hour__subject_missing_fraction,activity,timestamp_derived,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__derived_day_start_hour__subject_day_iqr,activity,timestamp_derived,scalar,subject_day_iqr,candidate,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__derived_day_start_hour__subject_day_iqr,activity,timestamp_derived,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__derived_day_start_hour__subject_day_iqr,activity,timestamp_derived,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__derived_day_start_hour__subject_median,activity,timestamp_derived,scalar,subject_median,candidate,0,CN,85,85,0,4,4,4,0,4,0,,0,0,0
activity__derived_day_start_hour__subject_median,activity,timestamp_derived,scalar,subject_median,candidate,1,MCI,47,47,0,4,4,4,0,4,0,,0,0,0
activity__derived_day_start_hour__subject_median,activity,timestamp_derived,scalar,subject_median,candidate,2,DEM,9,9,0,4,4,4,0,4,0,,0,0,0
activity__derived_day_start_hour__subject_missing_fraction,activity,timestamp_derived,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__derived_day_start_hour__subject_missing_fraction,activity,timestamp_derived,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__derived_day_start_hour__subject_missing_fraction,activity,timestamp_derived,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__derived_record_duration_hours__subject_day_iqr,activity,timestamp_derived,scalar,subject_day_iqr,candidate,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__derived_record_duration_hours__subject_day_iqr,activity,timestamp_derived,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__derived_record_duration_hours__subject_day_iqr,activity,timestamp_derived,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__derived_record_duration_hours__subject_median,activity,timestamp_derived,scalar,subject_median,candidate,0,CN,85,85,0,23.99972222,23.99972222,23.99972222,0,23.99972222,0,,0,0,0
activity__derived_record_duration_hours__subject_median,activity,timestamp_derived,scalar,subject_median,candidate,1,MCI,47,47,0,23.99972222,23.99972222,23.99972222,0,23.99972222,0,,0,0,0
activity__derived_record_duration_hours__subject_median,activity,timestamp_derived,scalar,subject_median,candidate,2,DEM,9,9,0,23.99972222,23.99972222,23.99972222,0,23.99972222,0,,0,0,0
activity__derived_record_duration_hours__subject_missing_fraction,activity,timestamp_derived,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
